area,street,mins_to_underground,housing_type,ceiling_height_m,bathroom_type,view,renovation_type,house_material_type,parking,living_area,kitchen_area,construction_year,house_commisioned,finishing_type,price_per_meter,deal_conditions,url,mortgage_availability,transport_accessibility_score,address
Басманный,Чкалов жилой комплекс,2.0,Новостройка / Апартаменты,315.0,4 совмещенных,На улицу,Чистовая,"Монолитно-кирпичный, монолитный",Открытая,,,2024.0,Не сдан,Чистовая,1300000.0,долевое участие (214-ФЗ),https://www.cian.ru/sale/flat/302839433/,возможна,,
Хамовники,Курсовой пер.,8.0,Вторичка / Апартаменты,4.0,3 совмещенных,На улицу и двор,Дизайнерский,Монолитный,Подземная,137.0,,,,,2000000.0,свободная продажа,https://www.cian.ru/sale/flat/301945082/,возможна,,
Якиманка,Лаврушинский пер.,5.0,Вторичка,32.0,2 совмещенных,Во двор,Евроремонт,Кирпичный,Наземная,110.0,20.0,,,,657203.0,свободная продажа,https://www.cian.ru/sale/flat/305527552/,возможна,,
Басманный,Чкалов жилой комплекс,2.0,Новостройка / Апартаменты,315.0,4 совмещенных,На улицу,Чистовая,"Монолитно-кирпичный, монолитный",Открытая,,,2024.0,Не сдан,Чистовая,1500000.0,долевое участие (214-ФЗ),https://www.cian.ru/sale/flat/302839460/,возможна,,
Раменки,Мосфильмовская ул.,16.0,Вторичка,32.0,3 совмещенных,,Дизайнерский,,Подземная,,,,,,573394.0,свободная продажа,https://www.cian.ru/sale/flat/306069648/,возможна,,
Тверской,ул. Фадеева,9.0,Вторичка,,3 совмещенных,,Дизайнерский,Монолитно-кирпичный,,100.0,50.0,,,,1537313.0,свободная продажа,https://www.cian.ru/sale/flat/306693668/,,,
Арбат,ул. Новый Арбат,7.0,Новостройка / Апартаменты,315.0,,,Неизвестно,Монолитно-кирпичный,Подземная,,,2013.0,Сдан,"Без отделки, чистовая, чистовая с мебелью",1887974.0,свободная продажа,https://www.cian.ru/sale/flat/304482997/,,,
,,6.0,Вторичка,335.0,"2 совмещенных, 2 раздельных",На улицу,Дизайнерский,Кирпичный,Подземная,131.0,19.0,,,,1843911.0,свободная продажа,https://www.cian.ru/sale/flat/308466686/,,,
Пресненский,Гранатный пер.,11.0,Вторичка,35.0,3 совмещенных,На улицу и двор,Без ремонта,Кирпичный,Подземная,170.0,24.0,,,,4343634.0,свободная продажа,https://www.cian.ru/sale/flat/303582854/,,,
Арбат,ул. Новый Арбат,7.0,Новостройка / Апартаменты,315.0,,,Неизвестно,Монолитно-кирпичный,Подземная,,,2013.0,Сдан,"Без отделки, чистовая, чистовая с мебелью",1375000.0,свободная продажа,https://www.cian.ru/sale/flat/304483072/,,,
,,7.0,Вторичка,3.0,4 совмещенных,Во двор,Дизайнерский,,Подземная,137.0,17.0,,,,2184466.0,свободная продажа,https://www.cian.ru/sale/flat/308461253/,возможна,,
Хамовники,Ксеньинский пер.,8.0,Вторичка / Апартаменты,54.0,"2 совмещенных, 1 раздельный",На улицу и двор,Без ремонта,,Подземная,,25.0,,,,600000.0,свободная продажа,https://www.cian.ru/sale/flat/300005789/,возможна,,
Даниловский,Г микрорайон,6.0,Новостройка,31.0,3 совмещенных,На улицу и двор,Без отделки,Монолитный,Подземная,,17.3,2024.0,Не сдан,"Без отделки, предчистовая",552573.0,долевое участие (214-ФЗ),https://www.cian.ru/sale/flat/304077684/,возможна,6.3,
